metric,cipr_mean,cipr_std,gesnc_mean,gesnc_std,diff,t_stat,p_value
All ACC,58.50022251891411,8.702335715267317e-15,58.92300845571874,0.12389328800244516,0.4227859368046296,5.910624659963686,0.027451014917868513
Old ACC,69.33333333333334,0.0,70.39999999999999,0.3711842908553354,1.0666666666666487,4.977368134705994,0.03807422073255787
New ACC,53.072812291249164,0.0,53.17301269205077,0.0,0.10020040080160442,inf,0.0
H-score,60.123043116025066,8.702335715267317e-15,60.585446476960506,0.1375622484699329,0.4624033609354399,5.822135968545457,0.02825648830804646
