metric,cipr_mean,cipr_std,gesnc_mean,gesnc_std,diff,t_stat,p_value
All ACC,84.95,0.0,84.10933333333334,0.17272971821766453,-0.8406666666666638,-10.882827995562545,0.000404692524087163
Old ACC,87.165,0.0,85.686,0.052607033750244295,-1.4789999999999992,-62.865063908052946,3.8351428708317176e-07
New ACC,80.52,0.0,80.95599999999999,0.6084652824935903,0.43599999999999284,1.6022699507102738,0.18435555449124733
H-score,83.71083638965919,0.0,83.25279474620272,0.29834931909610773,-0.45804164345646825,-3.4329297428845593,0.026464497015806946
